ITEM,FECHA,EVENTO,MUNICIPIO,Familias Damnificadas/ Afectadas,Viviendas Destruidas,Viviendas Averiadas,Acueducto destruidos,Vias Destruidas,Puentes Obstruidos,Establecimientos  Educativos,Afectacion Cultivos Has,Alertas,Albergues,Desaparecidos,Fallecidos,OBSERVACIONES
70,05/18/2023 12:00:00 AM,AVENIDA TORRENCIAL,SAN JOAQUIN,50,2,20,1,4,12,1,0,N/A,N/A,0,0,"El CMGRD reporta avenida torrencial quebradas panamá y la leona, sector: casco urbano de san Joaquín y veredas san Ignacio, santa bárbara, santa clara, san isidro, las fuertes lluvias de la tarde y noche del día jueves 18-05-2023, generaron creciente repentina de las quebradas de alta pendiente, la policía nacional junto a la defensa civil y el cmgrd generaron alerta en el casco urbano y se evacuaron de manera preventiva cerca de 200 familias de las partes bajas de la población, se realiza la evaluación de daños y análisis de necesidades"
71,05/20/2023 12:00:00 AM,INUNDACIONES,VELEZ,15,0,15,0,1,0,0,0,N/A,N/A,0,0,"El CMGRD reporta  fuertes lluvias, desbordamiento de las Quebrada las Flores y el Palenque, una vivienda evacuada, 15 viviendas afectadas por los lodos que ingresaron en los barrios pablo Sexto y Aquileo parra, atención del CMGRD con maquinaria amarilla para limpiar las cañadas que causaron la afectación y se realizan los EDAN"
72,05/20/2023 12:00:00 AM,CRECIENTE SUBITA,MOGOTES,6,0,6,0,0,0,0,0,N/A,N/A,0,0,"EL CMGRD reporta creciente súbita del rio Blanco y río Negro afluentes del rio Guaure, éste se desbordó a la altura de la vereda Guaure, afectación en 6 viviendas, perdida de cultivos de café, plátano y pastizales, se adelantan los EDAN"
73,05/22/2023 12:00:00 AM,AVENIDA TORRENCIAL,MALAGA,0,0,0,0,1,1,0,0,N/A,N/A,0,0,"EL ALCALDE DE Málaga reporta nuevamente creciente repentina de la quebrada del Término que causa daños en el terraplén que se construyó en el sector el termino el pasado mes de abril donde colapsó el puente sobre la vía nacional, se coordina maquinaria amarilla con el operador vias del INVIAS para recuperar el paso, un vehiculo que transitaba por el sector se fue el abismo, no hay personas lesionadas"
74,05/23/2023 12:00:00 AM,AVENIDA TORRENCIAL,SAN ANDRES,0,0,0,0,1,1,0,0,N/A,N/A,0,0,"EL CMGRD fuertes lluvias que generaron avenida torrencial del rio Congreso que causa daños en puentes peatonalesen la via hacia la vereda en caracol y corregimiento laguna de Orticesy perdida de cultivos, se adelanta la evaluación de daños y análisis de necesidades"
75,05/24/2023 12:00:00 AM,MOVIMIENTO EN MASA,GUACA,4,0,0,0,1,1,0,0,N/A,N/A,0,0,"EL CMGRD fuertes lluvias con presencia de granizo en la parte alta hacia el páramo del Almorzadero, causaron creciente de las quebradas aportantes del rio Guaca, varios deslizamientos causan riesgo en algunas viviendas y daños en cultivos de papa y cebolla"
76,05/27/2023 12:00:00 AM,MOVIMIENTO EN MASA,EL HATO,0,0,0,0,1,0,0,0,N/A,N/A,0,0,"EL CMGRD reporta fenómeno de remoción en masa en la via hacia la vereda Hoya Negra que mantiene incomunicada una comunidad de más de 300 habitantes, se coordina envío de maquinaria amarilla para rehabilitar el paso"
77,05/27/2023 12:00:00 AM,MOVIMIENTO EN MASA,EL GUACAMAYO,0,0,0,0,1,0,0,0,N/A,N/A,0,0,"EL CMGRD reporta a causa de las lluvias constantes se presenta fenómeno de remoción en masa en la via hacia el corregimiento Santa Rita, con maquinaria amarilla del municipio se rehabilitó el paso de manera provisional"
78,05/27/2023 12:00:00 AM,MOVIMIENTO EN MASA,ONZAGA,0,0,0,0,1,0,0,0,N/A,N/A,0,0,"El CMGRD reporta creciente súbita del rio Chaguaca, causa deslizamiento y perdida de la banca de la vía nacional San Joaquin - Onzaga a 1 km del casco urbano, en el sector PR 76+40se coordina maquinaria del INVIAS para recuperar el paso. Se coordina con el CRUE la atención de pacientes que requieran traslado hacia otros niveles de complejidad médica. 4259 habitantes afectados e incomunicados"
79,05/30/2023 12:00:00 AM,INUNDACIONES,PUERTO PARRA,60,0,20,0,0,0,0,0,N/A,N/A,0,0,"El CMGRD reporta fuertes lluvias y colapso del alcantarillado en los barrios Ferrocarril, el Centro y Kenedy   60 viviendas afectadas y pérdida de muebles y enceres Atiende: CMGR de Puerto Parra realiza la evaluación de daños y análisis de necesidades"
